product_name,product_price,minimum_order,seller_years_on_alibaba,seller_name,seller_response_rate,transaction_level,product_link,search_text
3.5 four-pole headphone cable PVC Copper core Wired stereo headset,$0.30-$0.45,100 Pieces,,,,0,https://www.alibaba.com/product-detail/3-5-four-pole-headphone-cable_62079715860.html?s=p,headphones 
Disposable headphone,$0.51-$0.79,1000 Pieces,,,91.7%,2,https://www.alibaba.com/product-detail/Disposable-headphone_60703680567.html?s=p,headphones 
High quality handsfree sport mini ear stereo mobile phone microphone wireless bt headphone for iphone,$4.29-$4.89,100 Pieces,,,98.9%,2.5,https://www.alibaba.com/product-detail/High-quality-handsfree-sport-mini-ear_60775790730.html?s=p,headphones 
HZC2 Dual Driver Gaming Cheap Tws Sports Earphones Headphones Wireless Blue Tooth Headphone Earphones Remote Volume Control,$7.50-$8.06,2 Pieces,,,,2.5,https://www.alibaba.com/product-detail/HZC2-Dual-Driver-Gaming-Cheap-Tws_62054426641.html?s=p,headphones 
Custom Box Packaging Mini Portable I7S Tws Twins Earphone 4.2 True Wireless Earbuds Blue Tooth Headphones Earphone White,$5.70-$5.90,50 Pieces,,,96.7%,2.5,https://www.alibaba.com/product-detail/Custom-Box-Packaging-Mini-Portable-I7S_60818870802.html?s=p,headphones 
Free Sample Shoelace Headphone ;USB Cable Shoelace Headphones,$2.01-$2.11,100 Pieces,,,95.5%,2.5,https://www.alibaba.com/product-detail/Free-Sample-Shoelace-Headphone-USB-Cable_60522709981.html,headphones 
Performance Professional HIFI backlit gaming headset stereo gaming headset headphones 7.1 with mic,$8.70-$8.90,120 Pieces,,,95.5%,4,https://www.alibaba.com/product-detail/Performance-Professional-HIFI-backlit-gaming-headset_60804069823.html,headphones 
"Super Bass Stereo Bluetooth Headphone, Wireless Bluetooth Headset,low price Bluetooth Headphones Wireless RU10",$1.00-$15.00,1 Piece,,,93.6%,3,https://www.alibaba.com/product-detail/Super-Bass-Stereo-Bluetooth-Headphone-Wireless_60670869709.html,headphones 
BT V4.1 Sport Headphone With Microphone Wireless Headset,$10.10-$10.80,20 Pieces,,,89.9%,3.5,https://www.alibaba.com/product-detail/BT-V4-1-Sport-Headphone-With_60780590176.html,headphones 
2018 New Arrival Convenient Bone conduction Wireless Single Earhook Headphone,$4.35-$5.50,50 Pieces,,,86.4%,3.5,https://www.alibaba.com/product-detail/2018-New-Arrival-Convenient-Bone-conduction_60777267797.html,headphones 
